offset,entry_multiplier,exit_multiplier,amount,entry_timeout,exit_timeout,prevent_entries,prevent_exits,buys_allowed,sells_allowed,rsiOS,rsiOB,rsiPeriod,trailing_entry,stop_loss,trailing_tp,delay_profit,delay_stop,active_above,active_below,entry_id
525,1,1,15,999,9999,FALSE,TRUE,FALSE,TRUE,41,55,29,17,0,0,0,0,0,0,ttip1.12.6
725,1,0.2,15,999,9999,FALSE,TRUE,FALSE,TRUE,41,55,29,28,0,0,0,0,0,0,ttip1.12.7
5,1,25,3,0.01,14,FALSE,FALSE,FALSE,TRUE,24,68,29,0,0,0,0,0,0,0,ttip1.12.8
10,1,5,5,0.1,44,FALSE,FALSE,FALSE,TRUE,24,68,29,0,0,0,0,0,0,0,ttip1.12.9
15,1,5,8,0.2,16,FALSE,FALSE,FALSE,TRUE,24,64,29,0,0,0,0,0,0,0,ttip1.12.10
45,1,3,8,1,25,FALSE,FALSE,FALSE,TRUE,24,64,29,0,0,0,0,0,0,0,ttip1.12.11
75,1,0.5,13,0.4,75,FALSE,FALSE,FALSE,TRUE,24,64,29,0,0,0,0,0,0,0,ttip1.12.12
115,1,2,21,0.4,25,FALSE,FALSE,FALSE,TRUE,17,68,29,0,0,0,0,0,0,0,ttip1.12.13
1,1,30,4,1,8888,TRUE,TRUE,FALSE,TRUE,32,75,43,22,0,0,0,0,0,0,tip1
1,1,15,4,1,8888,TRUE,TRUE,FALSE,TRUE,31,67,43,12,0,35,0,0,0,0,tip2
1,1,350,4,1,8888,TRUE,TRUE,FALSE,TRUE,47,55,43,42,0,0,0,0,0,0,tip3
1,1,50,4,1,8888,TRUE,TRUE,FALSE,TRUE,37,47,43,42,0,55,0,0,0,0,tip4
5,1,6,5,0.01,14,FALSE,FALSE,FALSE,TRUE,24,68,14,0,0,0,0,0,0,0,tip2.1
10,1,15,5,0.1,44,FALSE,FALSE,FALSE,TRUE,24,68,14,0,0,0,0,0,0,0,tip2.2
15,1,11,5,0.2,16,FALSE,FALSE,FALSE,TRUE,24,64,14,0,0,0,0,0,0,0,tip2.3
45,1,30,5,1,25,FALSE,FALSE,FALSE,TRUE,24,64,14,0,0,0,0,0,0,0,tip2.4
75,1,4,10,0.4,75,FALSE,FALSE,FALSE,TRUE,24,64,14,0,0,0,0,0,0,0,tip2.5
115,1,6,10,0.4,25,FALSE,FALSE,FALSE,TRUE,17,68,9,0,0,0,0,0,0,0,tip2.6
300,1,1.6,15,50,46,FALSE,FALSE,FALSE,TRUE,17,68,9,0,0,0,0,0,0,0,tip2.7
470,1,1.6,15,50,25,FALSE,FALSE,FALSE,TRUE,17,68,9,0,0,0,0,0,0,0,tip2.8
675,1,1.6,25,50,48,FALSE,FALSE,FALSE,TRUE,17,68,9,0,0,0,0,0,0,0,tip2.9
475,1,0.2,25,999,9999,FALSE,TRUE,FALSE,TRUE,37,55,43,0,0,0,0,0,0,0,tip2.10
550,1,0.1,50,999,9999,FALSE,TRUE,FALSE,TRUE,35,55,43,0,16,0,0,0,0,0,tip2.11
750,1,0.1,50,999,9999,FALSE,TRUE,FALSE,TRUE,34,55,43,0,0,0,0,0,0,0,tip2.12
1250,1,1,75,999,9999,FALSE,TRUE,FALSE,TRUE,27,55,43,0,26,0,0,0,0,0,tip2.13
1650,1,0.1,125,999,9999,FALSE,TRUE,FALSE,TRUE,37,55,43,58,0,0,0,0,0,0,tip2.14
2105,1,1,125,999,9999,FALSE,TRUE,FALSE,TRUE,37,55,43,78,0,0,0,0,0,0,tip2.15
3250,1,0.02,250,999,9999,FALSE,TRUE,FALSE,TRUE,37,55,43,88,0,0,0,0,0,0,tip2.16
40,1,0.2,10,5,9999,FALSE,TRUE,FALSE,TRUE,41,71,43,0,0,0,0,0,0,0,tip3.1
90,1,1.6,10,5,9999,FALSE,TRUE,FALSE,TRUE,41,71,43,0,0,0,0,0,0,0,tip3.2
220,1,2.2,10,10,9999,FALSE,TRUE,FALSE,TRUE,41,71,43,0,0,0,0,0,0,0,tip3.3
460,1,1.2,10,15,9999,FALSE,TRUE,FALSE,TRUE,41,71,43,0,0,0,0,0,0,0,tip3.4
