agent_id,profit,avg_drawdown,avg_spread,avg_duration,num_trades
dip1,1.9760679805069144e-06,-1.352989641180487e-06,1.5185374653348052,164146.0,1
dip2,1.3610958595365622e-05,-4.0142716036425835e-07,0.03701301555636452,2457.4334711199294,9
dip3,1.8140243955687275e-05,-8.820793281680773e-07,0.06877032528093217,4493.997296626984,8
dip1.1,2.578700381407497e-06,-1.2775015612993644e-06,1.8676509146648919,164563.0,1
dip1.2,3.09719421391263e-06,-1.1834844213088815e-06,2.2560631697687534,164568.0,1
dip1.3,2.6209666129493316e-06,-9.7079441057919e-07,0.9238224746658541,82281.0,2
dip1.4,0.0,0,0,0,0
dip1.5,0.0,0,0,0,0
dip1.6,0.0,0,0,0,0
dip1.7,0.0,0,0,0,0
dip2.1,1.4600704193101525e-05,-1.981881622319027e-08,0.0018825370785555923,14.365383820140766,13
dip2.2,1.7988980913059713e-05,-1.518363753029588e-08,0.0054909844974432255,6.205275790004483,16
dip2.3,2.0447828850185588e-05,-4.4604861832656314e-07,0.21820009388970746,3413.3440476190476,7
dip2.4,3.842904407327019e-05,-4.105522644111183e-07,0.3696293194254339,3941.0019841269846,7
tip1,0.0,0,0,0,0
tip2,-6.469892664717039e-06,0,0,0,0
tip3,3.06635796158994e-06,-1.4825055811392459e-06,1.145877330564926,53863.0,2
tip1.1,0.0,0,0,0,0
tip1.2,0.0,0,0,0,0
tip1.3,0.0,0,0,0,0
tip1.4,0.0,0,0,0,0
tip1.5,0.0,0,0,0,0
tip1.6,0.0,0,0,0,0
tip1.7,0.0,0,0,0,0
tip2.1,-6.158674064729002e-06,0,0,0,0
tip2.2,-5.930984412127466e-06,0,0,0,0
tip2.3,-5.4552760752254215e-06,0,0,0,0
tip2.4,-4.636228869811888e-06,0,0,0,0
total profit, 0.00010790599164442531
max cumulative drawdown, -6.166669544556121e-05
